nom_oeuvre,notion_1,notion_2,notion_3,notion_4,notion_5,notion_6,notion_7,notion_8,notion_9,notion_10,notion_11,notion_12,notion_13,notion_14
Neuer Zollhof,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Système de signes,,,,,,,,,,
Reichstag Dome,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,,,,,,,,,,
Experience Music Project,Rythme architectural,Matériau porteur exprimé,Fonctionnalisme radical,Grille de composition,Biomorphisme textile,,,,,,,,,
Millennium Bridge,Ossature apparente,Structure suspendue,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Hybridation vestimentaire,,,,,,,
Milwaukee art museum,Ossature apparente,Modularité spatiale,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Biomorphisme textile,Hybridation vestimentaire,,,,,,,
Walt Disney Concert Hall,Ossature apparente,Modularité spatiale,Matériau porteur exprimé,Fonctionnalisme radical,Système modulaire,Poétique de la fonction,Biomorphisme textile,,,,,,,
30 St Mary Axe / The Gherkin,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Stratification visuelle,,,,,,,,,,
CCTV Headquarters,Ossature apparente,Verticalité constructive,Structure suspendue,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Hybridation vestimentaire,,,,,,,
Millau Viaduct,Ossature apparente,Massivité symbolique,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,,,,,,,,
Sage Gateshead,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Système modulaire,Biomorphisme textile,,,,,,,,
Hearst Tower,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Biomorphisme textile,Hybridation vestimentaire,,,,,,,,
Tower 2 World Trade Center (projet),Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,,,,,,,,
Vitra House,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Superposition narrative,Hybridation vestimentaire,,,,,,,,
Showroom Citroën Paris,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Gestuelle artisanale,,,,,,,,
Wembley Stadium,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Transmission du geste,,,,,,,,,
Réserve mondiale semences Svalbard,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Matériau noble révélé,,,,,,,,,
The Future City is Flexible,Ossature apparente,Modularité spatiale,Fonctionnalisme radical,Système modulaire,,,,,,,,,,
Cube orange Lyon-confluence,Ossature apparente,Modularité spatiale,Fonctionnalisme radical,Réduction formelle,Système modulaire,Surface texturée,,,,,,,,
Les Cols,Ossature apparente,Modularité spatiale,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Surface texturée,,,,,
Metropol Parasol,Ossature apparente,Fonctionnalisme radical,Biomorphisme textile,,,,,,,,,,,
The Bow,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,,,,,,,,,,
Vieux Port Pavilion,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Transmission du geste,,,,,,,,
Fondation Louis-Vuitton,Ossature apparente,Structure suspendue,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Biomorphisme textile,,,,,,,,
Apple Park,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,,,,,,,,,
Bloomberg Headquarters,Ossature apparente,Modularité spatiale,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,,,,,,,,,
Campus Universitaire Toulouse,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Biomorphisme textile,Transmission du geste,,,,,,,,
Agricola I,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Poétique de la fonction,Grille de composition,Biomorphisme textile,Surface texturée,Gestuelle artisanale,Transmission du geste,,,,
Hudson River Landscape,Ossature apparente,Matériau porteur exprimé,Ergonomie contextualisée,Assemblage visible,Poétique de la fonction,Grille de composition,Biomorphisme textile,Stratification visuelle,,,,,,
Chihuly Over Venice,Structure suspendue,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Poétique de la fonction,Biomorphisme textile,Savoir-faire exprimé,Surface texturée,Transmission du geste,,,,,
Objet inutile,Matériau porteur exprimé,Fonctionnalisme radical,Assemblage visible,Poétique de la fonction,Système de signes,Savoir-faire exprimé,Décor porteur de sens,,,,,,,
SkySpace,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Hybridation vestimentaire,,,,,,,
Les ombres,Structure suspendue,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Transmission du geste,,,,,,,,,
Altar to the Chases,Ergonomie contextualisée,Poétique de la fonction,Grille de composition,Haptique matière,Transmission du geste,,,,,,,,,
Les Colonnes de Buren,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,,,,,,,,,,,
Les Archives du Cœur,Rythme architectural,Ergonomie contextualisée,Réduction formelle,Système modulaire,Poétique de la fonction,Matériau noble révélé,Transmission du geste,,,,,,,
Les archives des Anges,Structure suspendue,Ergonomie contextualisée,Poétique de la fonction,,,,,,,,,,,
Mes Voeux,Ergonomie contextualisée,Poétique de la fonction,Surface texturée,,,,,,,,,,,
Murakami Flower,Matériau porteur exprimé,Fonctionnalisme radical,Poétique de la fonction,Haptique matière,,,,,,,,,,
Réserve,Rythme architectural,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Surface texturée,Transmission du geste,,,,,,,,
Monument Odessa,Ergonomie contextualisée,Poétique de la fonction,,,,,,,,,,,,
The Physical Impossibility of Death (...),Structure suspendue,Transparence constructive,Ergonomie contextualisée,Poétique de la fonction,Matériau noble révélé,,,,,,,,,
Les Enfants de Dijon,Ergonomie contextualisée,Assemblage visible,Design par soustraction,Poétique de la fonction,Matériau noble révélé,,,,,,,,,
Dropping a Han Dynasty Urn,Poétique de la fonction,Transmission du geste,,,,,,,,,,,,
Finger,Réduction formelle,Grille de composition,Gestuelle artisanale,,,,,,,,,,,
727,Système modulaire,Grille de composition,Superposition narrative,,,,,,,,,,,
"And Then, and Then and Then and Then and Then",Système modulaire,Poétique de la fonction,Grille de composition,,,,,,,,,,,
Miss Ko2,Ergonomie contextualisée,Système modulaire,Poétique de la fonction,Grille de composition,Décor porteur de sens,,,,,,,,,
Chihuly in the Light of Jerusalem,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Poétique de la fonction,Coupe structurelle,Biomorphisme textile,Hybridation vestimentaire,,,,,,,
Forever Bicycles,Ossature apparente,Matériau porteur exprimé,Assemblage visible,Système modulaire,Poétique de la fonction,Stratification visuelle,,,,,,,,
My lovely bones,Ossature apparente,Matériau porteur exprimé,Ergonomie contextualisée,Assemblage visible,Poétique de la fonction,Grille de composition,Biomorphisme textile,Matériau noble révélé,Surface texturée,Transmission du geste,,,,
Jellyfish Eyes,Ergonomie contextualisée,Grille de composition,Hybridation vestimentaire,Surface texturée,,,,,,,,,,
Tan Tan Bo,Poétique de la fonction,Grille de composition,Hybridation vestimentaire,Surface texturée,,,,,,,,,,
Flower Ball,Système modulaire,Poétique de la fonction,Grille de composition,Hybridation vestimentaire,,,,,,,,,,
Kaikai Kiki & Me,Fonctionnalisme radical,Système modulaire,Hybridation vestimentaire,Transmission du geste,,,,,,,,,,
La petite fille au ballon,Réduction formelle,Grille de composition,,,,,,,,,,,,
Mille Fiori,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Poétique de la fonction,Grille de composition,Biomorphisme textile,Savoir-faire exprimé,Surface texturée,,,,,
Panda,Usage détourné,Grille de composition,Hybridation vestimentaire,,,,,,,,,,,
Russelsheim,Ergonomie contextualisée,Grille de composition,,,,,,,,,,,,
The Weather Project,Structure suspendue,Ergonomie contextualisée,Poétique de la fonction,,,,,,,,,,,
Refraction,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Grille de composition,Matériau noble révélé,,,,,,,,
Straight,Ossature apparente,Rythme architectural,Ergonomie contextualisée,Poétique de la fonction,Surface texturée,,,,,,,,,
The Sun,Ossature apparente,Matériau porteur exprimé,Assemblage visible,Biomorphisme textile,Hybridation vestimentaire,Surface texturée,,,,,,,,
Remembering,Ergonomie contextualisée,Assemblage visible,Poétique de la fonction,Surface texturée,,,,,,,,,,
Circle of Animals/Zodiac Heads,Fonctionnalisme radical,Poétique de la fonction,Système de signes,Matériau noble révélé,Transmission du geste,,,,,,,,,
Fauteuil Termitière,Ossature apparente,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Système de signes,Biomorphisme textile,,,,,,,,
Personne,Structure suspendue,Ergonomie contextualisée,Réduction formelle,Matériau noble révélé,,,,,,,,,,
Sunflower Seeds,Ergonomie contextualisée,Poétique de la fonction,Savoir-faire exprimé,Surface texturée,,,,,,,,,,
Danse Dance,Fonctionnalisme radical,Typographie expressive,Hybridation vestimentaire,Gestuelle artisanale,,,,,,,,,,
25 000 Tempos Hugenique,Rythme architectural,Matériau porteur exprimé,Assemblage visible,Système modulaire,Poétique de la fonction,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,Décor porteur de sens,Transmission du geste,,,,
Chihuly Garden and Glass,Ossature apparente,Structure suspendue,Matériau porteur exprimé,Poétique de la fonction,Biomorphisme textile,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,,,,,,
S.A.C.R.E.D.,Transparence constructive,Matériau porteur exprimé,Ergonomie contextualisée,Grille de composition,Matériau noble révélé,,,,,,,,,
Animitas,Structure suspendue,Matériau porteur exprimé,Ergonomie contextualisée,Poétique de la fonction,Système de signes,Transmission du geste,,,,,,,,
Algo-r(h)i(y)thms,Ossature apparente,Structure suspendue,Fonctionnalisme radical,Ergonomie contextualisée,Poétique de la fonction,,,,,,,,,
"L'Arc de Triomphe, Wrapped",Ossature apparente,,,,,,,,,,,,,
Tanktotem Series,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Assemblage visible,Réduction formelle,Poétique de la fonction,Grille de composition,Hybridation vestimentaire,Surface texturée,Transmission du geste,,,
Cubi Series,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Assemblage visible,Réduction formelle,Système modulaire,Poétique de la fonction,Coupe structurelle,Hybridation vestimentaire,Savoir-faire exprimé,,,
Voltri-Bolton,Ossature apparente,Structure suspendue,Matériau porteur exprimé,Fonctionnalisme radical,Assemblage visible,Grille de composition,Coupe structurelle,Hybridation vestimentaire,,,,,,
Logo magazine Esquir,Fonctionnalisme radical,Réduction formelle,Typographie expressive,Système de signes,Biomorphisme textile,,,,,,,,,
Couverture du magazine Direction,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,Surface texturée,,,,,,,
Modulor,Ossature apparente,Rythme architectural,Fonctionnalisme radical,Ergonomie contextualisée,Grille de composition,,,,,,,,,
"Couverture du livre ""Thoughts on Design""",Ossature apparente,Fonctionnalisme radical,Assemblage visible,Réduction formelle,Typographie expressive,Grille de composition,Décor porteur de sens,,,,,,,
The Man with the Golden Arm,Réduction formelle,Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,,,,,,,,,
Logo IBM,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Typographie expressive,Grille de composition,,,,,,,,,
Vertigo,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,,,,,,,,
Anatomy of a Murder,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,,,,,,,,
Exodus,Ossature apparente,Ergonomie contextualisée,Réduction formelle,Poétique de la fonction,Typographie expressive,Grille de composition,Surface texturée,,,,,,,
Logo Westinghouse,Fonctionnalisme radical,Réduction formelle,Typographie expressive,Grille de composition,,,,,,,,,,
Logo UPS,Réduction formelle,Typographie expressive,,,,,,,,,,,,
Logo ABC,Réduction formelle,Design par soustraction,Poétique de la fonction,Typographie expressive,Hybridation vestimentaire,Décor porteur de sens,,,,,,,,
Continental Airlines,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Grille de composition,Système de signes,,,,,,,,,
Logo MCDO,Ossature apparente,Fonctionnalisme radical,Réduction formelle,Typographie expressive,Système de signes,Décor porteur de sens,,,,,,,,
Logo AT&T,Réduction formelle,Poétique de la fonction,Transmission du geste,,,,,,,,,,,
Logo Nike,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Typographie expressive,,,,,,,,,,
United Airlines,Ossature apparente,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Typographie expressive,Système de signes,,,,,,,,
I Love New York,Réduction formelle,Typographie expressive,Système de signes,,,,,,,,,,,
Logo Apple,Fonctionnalisme radical,Réduction formelle,Système de signes,Hybridation vestimentaire,Monochromie signifiante,,,,,,,,,
Girl Scouts of the USA,Réduction formelle,Poétique de la fonction,Système de signes,,,,,,,,,,,
Minolta,Fonctionnalisme radical,Réduction formelle,Typographie expressive,Monochromie signifiante,Décor porteur de sens,,,,,,,,,
Affiche BIC,Fonctionnalisme radical,Réduction formelle,Typographie expressive,Grille de composition,,,,,,,,,,
The Face,Ossature apparente,Poétique de la fonction,Typographie expressive,Grille de composition,Biomorphisme textile,Surface texturée,,,,,,,,
The Shining,Réduction formelle,Typographie expressive,Grille de composition,,,,,,,,,,,
Logo Morningstar,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Typographie expressive,,,,,,,,,,
Logo Yale University Press,Ossature apparente,Réduction formelle,Typographie expressive,Grille de composition,Transmission du geste,,,,,,,,,
Logo NeXT,Fonctionnalisme radical,Réduction formelle,Typographie expressive,Grille de composition,Système de signes,,,,,,,,,
Au début Hitler faisait rire,Réduction formelle,Typographie expressive,Grille de composition,Système de signes,,,,,,,,,,
Foto cover,Ossature apparente,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,,,,,,,
Jazz poster,Rythme architectural,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Typographie expressive,Grille de composition,Hybridation vestimentaire,Surface texturée,,,,,,
"Couverture du livre ""Design, Form, and Chaos""",Ossature apparente,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Typographie expressive,Grille de composition,Transmission du geste,,,,,,,
Kunst poster,Fonctionnalisme radical,Réduction formelle,Typographie expressive,Grille de composition,Système de signes,Hybridation vestimentaire,Surface texturée,Transmission du geste,,,,,,
Public Theater Identity,Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,Superposition narrative,Hybridation vestimentaire,,,,,,,,
Mahnmale poster,Fonctionnalisme radical,Réduction formelle,Typographie expressive,Grille de composition,Système de signes,Monochromie signifiante,Surface texturée,,,,,,,
Kunstmarkt poster,Ossature apparente,Réduction formelle,Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,,,,,,,,
Hans Danuser poster,Fonctionnalisme radical,Assemblage visible,Typographie expressive,Grille de composition,Système de signes,Surface texturée,Transmission du geste,,,,,,,
"Pochette de l'album ""Bridges to Babylon""",Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,Surface texturée,,,,,,,,,
Signalétique Muséé Pompidou,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Typographie expressive,Système de signes,,,,,,,
Jazz at Lincoln Center,Rythme architectural,Typographie expressive,Grille de composition,Système de signes,Superposition narrative,Transmission du geste,,,,,,,,
Hope,Fonctionnalisme radical,Typographie expressive,,,,,,,,,,,,
Motion,Ossature apparente,Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,Superposition narrative,Biomorphisme textile,,,,,,,
"Pochette de l'album ""Once in a Lifetime""",Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,Surface texturée,,,,,,,,,
Identité visuelle pour le musée Casa da Música à Porto,Rythme architectural,Poétique de la fonction,Typographie expressive,Grille de composition,Superposition narrative,Surface texturée,,,,,,,,
Things I Have Learned in My Life So Far,Fonctionnalisme radical,Ergonomie contextualisée,Typographie expressive,Grille de composition,Système de signes,Hybridation vestimentaire,Savoir-faire exprimé,Surface texturée,,,,,,
Campagne publicitaire pour Levi's,Typographie expressive,Grille de composition,Hybridation vestimentaire,Surface texturée,Décor porteur de sens,Transmission du geste,,,,,,,,
The High Line Logo,Ossature apparente,Matériau porteur exprimé,Réduction formelle,Typographie expressive,Grille de composition,Système de signes,,,,,,,,
Les migrations en héritages,Ergonomie contextualisée,Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,Superposition narrative,Surface texturée,Transmission du geste,,,,,,
Vogue UK,Typographie expressive,Grille de composition,Système de signes,Hybridation vestimentaire,Gestuelle artisanale,,,,,,,,,
"Installation ""The Happy Show""",Ergonomie contextualisée,Typographie expressive,Grille de composition,Système de signes,,,,,,,,,,
Logo Windows,Ossature apparente,Transparence constructive,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Typographie expressive,Système de signes,,,,,,,
Image dans tous les sens,Ossature apparente,Poétique de la fonction,Grille de composition,Système de signes,Superposition narrative,Hybridation vestimentaire,Surface texturée,,,,,,,
An American in Paris,Poétique de la fonction,Typographie expressive,Grille de composition,Système de signes,Hybridation vestimentaire,,,,,,,,,
The New School Identity,Typographie expressive,Grille de composition,,,,,,,,,,,,
Meltdown,Poétique de la fonction,Grille de composition,Système de signes,Hybridation vestimentaire,Surface texturée,,,,,,,,,
Logo Mastercard,Réduction formelle,,,,,,,,,,,,,
Sac Bolide,Fonctionnalisme radical,Assemblage visible,Coupe structurelle,Biomorphisme textile,Savoir-faire exprimé,Transmission du geste,,,,,,,,
Sac Kelly,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Savoir-faire exprimé,Surface texturée,Transmission du geste,,,,,,,
Omega Constellation,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Système de signes,Savoir-faire exprimé,Décor porteur de sens,Transmission du geste,,,,,,
IWC ingenieur,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Savoir-faire exprimé,Transmission du geste,,,,,,,,,
Egyptienne,Fonctionnalisme radical,Typographie expressive,Grille de composition,Système de signes,,,,,,,,,,
Univers,Modularité spatiale,Fonctionnalisme radical,Réduction formelle,Système modulaire,Typographie expressive,Grille de composition,Système de signes,,,,,,,
Snell Roundhand,Fonctionnalisme radical,Typographie expressive,Grille de composition,Surface texturée,Décor porteur de sens,,,,,,,,,
Serifa,Ossature apparente,Fonctionnalisme radical,Typographie expressive,Grille de composition,Hybridation vestimentaire,,,,,,,,,
OCR-B,Fonctionnalisme radical,Ergonomie contextualisée,Typographie expressive,Hybridation vestimentaire,,,,,,,,,,
Yantra,Ossature apparente,Modularité spatiale,Fonctionnalisme radical,Réduction formelle,Système modulaire,Poétique de la fonction,Grille de composition,Système de signes,Savoir-faire exprimé,,,,,
Audemars piguet royal oak,Matériau porteur exprimé,Système de signes,Surface texturée,,,,,,,,,,,
Shelley Script,Fonctionnalisme radical,Typographie expressive,Décor porteur de sens,Transmission du geste,,,,,,,,,,
Menta,Ossature apparente,Fonctionnalisme radical,Système de signes,Hybridation vestimentaire,Surface texturée,Décor porteur de sens,,,,,,,,
Bell Centennial,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Typographie expressive,,,,,,,,,,
Frutiger,Fonctionnalisme radical,Typographie expressive,,,,,,,,,,,,
Patek Philippe Nautilus,Matériau porteur exprimé,Fonctionnalisme radical,Système de signes,Surface texturée,Décor porteur de sens,,,,,,,,,
Galliard,Fonctionnalisme radical,Typographie expressive,,,,,,,,,,,,
Sac Birkin,Matériau porteur exprimé,Fonctionnalisme radical,Réduction formelle,Savoir-faire exprimé,Transmission du geste,,,,,,,,,
ITC Charter,Fonctionnalisme radical,Réduction formelle,Typographie expressive,Système de signes,,,,,,,,,,
Avenir,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Typographie expressive,Système de signes,Transmission du geste,,,,,,,,
Ceramic Totems,Fonctionnalisme radical,Poétique de la fonction,Système de signes,Biomorphisme textile,Surface texturée,Décor porteur de sens,,,,,,,,
Georgia,Fonctionnalisme radical,Typographie expressive,,,,,,,,,,,,
Tahoma,Fonctionnalisme radical,Typographie expressive,,,,,,,,,,,,
Verdana,Fonctionnalisme radical,Typographie expressive,Hybridation vestimentaire,Transmission du geste,,,,,,,,,,
Miller,Fonctionnalisme radical,Typographie expressive,,,,,,,,,,,,
Scampston Hall,Ossature apparente,Fonctionnalisme radical,Poétique de la fonction,Grille de composition,Surface texturée,,,,,,,,,
Sac Cabat,Fonctionnalisme radical,Réduction formelle,Savoir-faire exprimé,Surface texturée,Transmission du geste,,,,,,,,,
Wisley Planting,Grille de composition,Stratification visuelle,Surface texturée,,,,,,,,,,,
Sac Veneta,Fonctionnalisme radical,Système de signes,Savoir-faire exprimé,Surface texturée,,,,,,,,,,
Solo,Hybridation vestimentaire,Gestuelle artisanale,,,,,,,,,,,,
The Battery Bosque,Ossature apparente,Ergonomie contextualisée,Poétique de la fonction,Grille de composition,Biomorphisme textile,Surface texturée,,,,,,,,
Trentham Gardens,Ossature apparente,Massivité symbolique,Fonctionnalisme radical,Poétique de la fonction,Grille de composition,Surface texturée,,,,,,,,
Lurie Garden,Ossature apparente,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Surface texturée,,,,,,,,,
Sac Knot,Fonctionnalisme radical,Réduction formelle,Savoir-faire exprimé,Surface texturée,Transmission du geste,,,,,,,,,
Pensthorpe Natural Park,Ossature apparente,Fonctionnalisme radical,Grille de composition,Surface texturée,Décor porteur de sens,,,,,,,,,
High Line,Ossature apparente,Matériau porteur exprimé,Système modulaire,Poétique de la fonction,Surface texturée,Décor porteur de sens,,,,,,,,
Le Roi s'ammuse,Rythme architectural,Ergonomie contextualisée,Assemblage visible,Hybridation vestimentaire,Transmission du geste,,,,,,,,,
Serpentine Gallery Pavilion,Ossature apparente,Ergonomie contextualisée,Système de signes,Biomorphisme textile,Stratification visuelle,Hybridation vestimentaire,Surface texturée,,,,,,,
Vlinderhof,Fonctionnalisme radical,Système de signes,Biomorphisme textile,Surface texturée,,,,,,,,,,
Plissage,Ossature apparente,Réduction formelle,Système de signes,Biomorphisme textile,Savoir-faire exprimé,Surface texturée,,,,,,,,
Broderie,Matériau porteur exprimé,Poétique de la fonction,Grille de composition,Stratification visuelle,Savoir-faire exprimé,Surface texturée,,,,,,,,
Domaine de la taillerie,Matériau porteur exprimé,Fonctionnalisme radical,Assemblage visible,Réduction formelle,Hybridation vestimentaire,Savoir-faire exprimé,Transmission du geste,,,,,,,
Hauser & Wirth Garden,Ossature apparente,Fonctionnalisme radical,Réduction formelle,Poétique de la fonction,Surface texturée,,,,,,,,,
Canapé Eileen Grey,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Assemblage visible,Réduction formelle,Poétique de la fonction,Système de signes,Savoir-faire exprimé,,,,,,
Table basse Eileen Gray,Ossature apparente,Transparence constructive,Matériau porteur exprimé,Fonctionnalisme radical,Ergonomie contextualisée,Réduction formelle,Typographie expressive,Système de signes,Décor porteur de sens,,,,,
Tranzat chair,Ossature apparente,Matériau porteur exprimé,Fonctionnalisme radical,Assemblage visible,Système de signes,Hybridation vestimentaire,Savoir-faire exprimé,,,,,,,
