Nom de la référence,Notions
Algo-r(h)i(y)thms,"Biomimétisme, Interaction, Cinétisme & Vibration, Articulation & Connexion, Échelle & Proportion, Engagement & Sensibilisation, Dématérialisation, Lumière & Ombre, Narration & Évocation, Accumulation & Densité"
Algues,"Modularité & Standardisation, Biomimétisme, Accumulation & Densité, Articulation & Connexion, Répétition, Transparence & Opacité, Interaction, Mobilité & Déploiement, Masse & Légèreté, Rationalisation & Simplification, Mutation & Évolution"
Altar to the Chases,"Accumulation & Densité, Équilibre & Symétrie, Répétition, Lumière & Ombre, Texture & État de surface, Éphémère & Apparition, Narration & Évocation, Symbole & Archétype, Engagement & Sensibilisation, Réemploi & Réhabilitation"
Amoebe Highback,"Fluidité & Rigidité, Couleur & Saturation, Biomimétisme, Ergonomie & Usages, Ancrage & Élévation, Inclusion & Mise en abyme, Symbole & Archétype, Narration & Évocation"
Anatomy of a Murder,"Déconstruction & Fragmentation, Couleur & Saturation, Minimalisme & Vide, Cinétisme & Vibration, Narration & Évocation, Symbole & Archétype, Exagération & Contraste, Rationalisation & Simplification, Innovation & Optimisation"
"And Then, and Then and Then and Then and Then","Répétition, Hiérarchie & Stratification, Échelle & Proportion, Couleur & Saturation, Hybridation & Fusion, Mutation & Évolution, Symbole & Archétype, Détournement & Appropriation, Exagération & Contraste, Rationalisation & Simplification"
Anemone Armchair,"Accumulation & Densité, Articulation & Connexion, Biomimétisme, Détournement & Appropriation, Texture & État de surface, Artisanat & Savoir-faire, Hybridation & Fusion, Répétition, Transparence & Opacité, Masse & Légèreté, Innovation & Optimisation, Narration & Évocation"
Animitas,"Accumulation & Densité, Répétition, Lumière & Ombre, Éphémère & Apparition, Cinétisme & Vibration, Ancrage & Élévation, Narration & Évocation, Symbole & Archétype, Engagement & Sensibilisation, Réemploi & Réhabilitation"
Apple Park,"Échelle & Proportion, Équilibre & Symétrie, Répétition, Transparence & Opacité, Minimalisme & Vide, Dématérialisation, Pérennité, Symbole & Archétype, Engagement & Sensibilisation, Innovation & Optimisation, Ergonomie & Usages, Rationalisation & Simplification"
Arvak - Vélo design en bois,"Hiérarchie & Stratification, Masse & Légèreté, Fluidité & Rigidité, Minimalisme & Vide, Hybridation & Fusion, Texture & État de surface, Mobilité & Déploiement, Engagement & Sensibilisation, Artisanat & Savoir-faire, Innovation & Optimisation, Biomimétisme, Rationalisation & Simplification"
Au début Hitler faisait rire,"Détournement & Appropriation, Engagement & Sensibilisation, Exagération & Contraste, Déformation & Distorsion, Minimalisme & Vide, Hiérarchie & Stratification, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification, Déconstruction & Fragmentation"
Audemars piguet royal oak,"Articulation & Connexion, Équilibre & Symétrie, Répétition, Motif & Ornementation, Texture & État de surface, Lumière & Ombre, Pérennité, Symbole & Archétype, Détournement & Appropriation, Artisanat & Savoir-faire, Innovation & Optimisation"
Avenir,"Équilibre & Symétrie, Hiérarchie & Stratification, Masse & Légèreté, Minimalisme & Vide, Mutation & Évolution, Pérennité, Narration & Évocation, Symbole & Archétype, Ergonomie & Usages, Innovation & Optimisation, Modularité & Standardisation, Rationalisation & Simplification"
Bamboo Lantern,"Artisanat & Savoir-faire, Articulation & Connexion, Lumière & Ombre, Mobilité & Déploiement, Transparence & Opacité, Innovation & Optimisation, Texture & État de surface, Symbole & Archétype, Masse & Légèreté, Répétition, Ergonomie & Usages, Narration & Évocation"
Bauhaus,"Articulation & Connexion, Équilibre & Symétrie, Minimalisme & Vide, Transparence & Opacité, Lumière & Ombre, Hybridation & Fusion, Pérennité, Symbole & Archétype, Artisanat & Savoir-faire, Ergonomie & Usages, Modularité & Standardisation, Rationalisation & Simplification"
Bel-Air,"Inclusion & Mise en abyme, Articulation & Connexion, Hybridation & Fusion, Transparence & Opacité, Interaction, Mutation & Évolution, Engagement & Sensibilisation, Narration & Évocation, Biomimétisme, Conception collaborative, Ergonomie & Usages, Innovation & Optimisation"
Bell Centennial,"Innovation & Optimisation, Ergonomie & Usages, Rationalisation & Simplification, Articulation & Connexion, Échelle & Proportion, Minimalisme & Vide, Hiérarchie & Stratification, Modularité & Standardisation, Artisanat & Savoir-faire, Répétition, Accumulation & Densité"
Ben Chair,"Masse & Légèreté, Ancrage & Élévation, Fluidité & Rigidité, Ergonomie & Usages, Rationalisation & Simplification, Minimalisme & Vide, Texture & État de surface, Articulation & Connexion, Narration & Évocation, Échelle & Proportion, Symbole & Archétype, Innovation & Optimisation"
Between the Lines,"Illusion & Simulation, Minimalisme & Vide, Cinétisme & Vibration, Texture & État de surface, Déconstruction & Fragmentation, Artisanat & Savoir-faire, Innovation & Optimisation, Transparence & Opacité, Répétition, Conception collaborative, Mutation & Évolution, Hiérarchie & Stratification"
Bibendum,"Répétition, Accumulation & Densité, Échelle & Proportion, Masse & Légèreté, Fluidité & Rigidité, Équilibre & Symétrie, Narration & Évocation, Symbole & Archétype, Pérennité, Innovation & Optimisation, Ergonomie & Usages, Texture & État de surface"
Bibliothèque Bookworm,"Articulation & Connexion , Répétition , Fluidité & Rigidité , Minimalisme & Vide , Interaction , Mobilité & Déploiement , Mutation & Évolution , Narration & Évocation , Symbole & Archétype , Ergonomie & Usages , Innovation & Optimisation , Rationalisation & Simplification"
Bic Cristal,"Modularité & Standardisation, Transparence & Opacité, Minimalisme & Vide, Ergonomie & Usages, Rationalisation & Simplification, Innovation & Optimisation, Pérennité, Symbole & Archétype, Masse & Légèreté, Répétition, Hiérarchie & Stratification"
"Bic, Kugelschreiber","Minimalisme & Vide, Rationalisation & Simplification, Cinétisme & Vibration, Articulation & Connexion, Couleur & Saturation, Narration & Évocation, Symbole & Archétype, Engagement & Sensibilisation, Innovation & Optimisation, Répétition"
Biopiracy,"Hiérarchie & Stratification , Hybridation & Fusion , Fluidité & Rigidité , Masse & Légèreté , Texture & État de surface , Mutation & Évolution , Engagement & Sensibilisation , Détournement & Appropriation , Artisanat & Savoir-faire , Biomimétisme , Conception collaborative , Innovation & Optimisation"
Bloomberg Headquarters,"Articulation & Connexion , Échelle & Proportion , Répétition , Lumière & Ombre , Hybridation & Fusion , Texture & État de surface , Interaction , Pérennité , Engagement & Sensibilisation , Narration & Évocation , Ergonomie & Usages , Innovation & Optimisation"
Butterfly,"Articulation & Connexion, Équilibre & Symétrie, Masse & Légèreté, Minimalisme & Vide, Interaction, Pérennité, Détournement & Appropriation, Symbole & Archétype, Conception collaborative, Ergonomie & Usages, Modularité & Standardisation, Rationalisation & Simplification"
C42 – Showroom Citroën Paris,"Motif & Ornementation , Hiérarchie & Stratification , Transparence & Opacité , Lumière & Ombre , Ancrage & Élévation , Cinétisme & Vibration , Symbole & Archétype , Narration & Évocation , Illusion & Simulation , Innovation & Optimisation , Ergonomie & Usages , Réemploi & Réhabilitation"
CCTV Headquarters,"Articulation & Connexion, Hiérarchie & Stratification, Motif & Ornementation, Déformation & Distorsion, Masse & Légèreté, Transparence & Opacité, Ancrage & Élévation, Mobilité & Déploiement, Exagération & Contraste, Symbole & Archétype, Conception collaborative, Innovation & Optimisation"
Campus Universitaire Toulouse,"Articulation & Connexion, Échelle & Proportion, Hiérarchie & Stratification, Masse & Légèreté, Lumière & Ombre, Texture & État de surface, Minimalisme & Vide, Ancrage & Élévation, Pérennité, Narration & Évocation, Ergonomie & Usages, Innovation & Optimisation"
Canapé Eileen Grey,"Articulation & Connexion, Hiérarchie & Stratification, Fluidité & Rigidité, Masse & Légèreté, Texture & État de surface, Cinétisme & Vibration, Pérennité, Détournement & Appropriation, Symbole & Archétype, Innovation & Optimisation, Ergonomie & Usages, Rationalisation & Simplification"
Canteen stool,"Articulation & Connexion, Échelle & Proportion, Répétition, Fluidité & Rigidité, Masse & Légèreté, Minimalisme & Vide, Ancrage & Élévation, Pérennité, Symbole & Archétype, Ergonomie & Usages, Modularité & Standardisation, Rationalisation & Simplification"
Capriole,"Hiérarchie & Stratification , Fluidité & Rigidité , Hybridation & Fusion , Masse & Légèreté , Cinétisme & Vibration , Éphémère & Apparition , Mutation & Évolution , Narration & Évocation , Artisanat & Savoir-faire , Biomimétisme , Conception collaborative , Innovation & Optimisation"
Centre Pompidou,"Articulation & Connexion, Hiérarchie & Stratification, Couleur & Saturation, Masse & Légèreté, Transparence & Opacité, Interaction, Mobilité & Déploiement, Engagement & Sensibilisation, Exagération & Contraste, Symbole & Archétype, Innovation & Optimisation, Modularité & Standardisation"
Centre Pompidou-Metz,"Articulation & Connexion, Hiérarchie & Stratification, Motif & Ornementation, Masse & Légèreté, Transparence & Opacité, Ancrage & Élévation, Interaction, Symbole & Archétype, Narration & Évocation, Biomimétisme, Innovation & Optimisation, Artisanat & Savoir-faire"
Ceramic Totems,"Hiérarchie & Stratification, Répétition, Motif & Ornementation, Couleur & Saturation, Texture & État de surface, Ancrage & Élévation, Symbole & Archétype, Détournement & Appropriation, Exagération & Contraste, Narration & Évocation, Artisanat & Savoir-faire, Modularité & Standardisation"
Chair_One,"Articulation & Connexion , Répétition , Dématérialisation , Masse & Légèreté , Minimalisme & Vide , Texture & État de surface , Ancrage & Élévation , Mobilité & Déploiement , Symbole & Archétype , Ergonomie & Usages , Innovation & Optimisation , Modularité & Standardisation"
Chaise Big Easy,"Échelle & Proportion, Déformation & Distorsion, Masse & Légèreté, Texture & État de surface, Mutation & Évolution, Détournement & Appropriation, Exagération & Contraste, Illusion & Simulation, Symbole & Archétype, Artisanat & Savoir-faire, Innovation & Optimisation, Ergonomie & Usages"
Chaise C2,"Hiérarchie & Stratification, Motif & Ornementation, Articulation & Connexion, Fluidité & Rigidité, Masse & Légèreté, Texture & État de surface, Mutation & Évolution, Narration & Évocation, Symbole & Archétype, Biomimétisme, Innovation & Optimisation, Ergonomie & Usages"
Chaise Longue LC4,"Articulation & Connexion, Hiérarchie & Stratification, Fluidité & Rigidité, Masse & Légèreté, Texture & État de surface, Interaction, Mobilité & Déploiement, Pérennité, Symbole & Archétype, Ergonomie & Usages, Innovation & Optimisation, Rationalisation & Simplification"
Chaise MT3,"Hiérarchie & Stratification, Minimalisme & Vide, Couleur & Saturation, Dématérialisation, Fluidité & Rigidité, Masse & Légèreté, Texture & État de surface, Cinétisme & Vibration, Interaction, Symbole & Archétype, Innovation & Optimisation, Ergonomie & Usages"
Chaise Rouge et Bleue,"Articulation & Connexion, Hiérarchie & Stratification, Équilibre & Symétrie, Couleur & Saturation, Masse & Légèreté, Minimalisme & Vide, Ancrage & Élévation, Mutation & Évolution, Symbole & Archétype, Artisanat & Savoir-faire, Modularité & Standardisation, Rationalisation & Simplification"
Chaise Rover,"Articulation & Connexion, Hiérarchie & Stratification, Hybridation & Fusion, Masse & Légèreté, Texture & État de surface, Ancrage & Élévation, Détournement & Appropriation, Symbole & Archétype, Narration & Évocation, Réemploi & Réhabilitation, Ergonomie & Usages, Artisanat & Savoir-faire"
Chaise Well Tempered,"Articulation & Connexion, Hiérarchie & Stratification, Fluidité & Rigidité, Masse & Légèreté, Minimalisme & Vide, Texture & État de surface, Cinétisme & Vibration, Interaction, Détournement & Appropriation, Symbole & Archétype, Innovation & Optimisation, Rationalisation & Simplification"
Chihuly Over Venice,"Accumulation & Densité , Échelle & Proportion , Répétition , Couleur & Saturation , Lumière & Ombre , Transparence & Opacité , Ancrage & Élévation , Interaction , Éphémère & Apparition , Narration & Évocation , Artisanat & Savoir-faire , Conception collaborative"
Chihuly in the Light of Jerusalem,"Accumulation & Densité , Échelle & Proportion , Couleur & Saturation , Lumière & Ombre , Masse & Légèreté , Texture & État de surface , Transparence & Opacité , Éphémère & Apparition , Interaction , Exagération & Contraste , Narration & Évocation , Artisanat & Savoir-faire"
Circle of Animals/Zodiac Heads,"Accumulation & Densité , Échelle & Proportion , Répétition , Masse & Légèreté , Texture & État de surface , Ancrage & Élévation , Pérennité , Détournement & Appropriation , Symbole & Archétype , Narration & Évocation , Artisanat & Savoir-faire , Réemploi & Réhabilitation"
Circle-W - Logo Westinghouse,"Articulation & Connexion , Équilibre & Symétrie , Hiérarchie & Stratification , Répétition , Minimalisme & Vide , Lumière & Ombre , Pérennité , Symbole & Archétype , Narration & Évocation , Innovation & Optimisation , Modularité & Standardisation , Rationalisation & Simplification"
Coffee Drop Splash,"Articulation & Connexion , Fluidité & Rigidité , Hybridation & Fusion , Texture & État de surface , Cinétisme & Vibration , Éphémère & Apparition , Interaction , Mutation & Évolution , Détournement & Appropriation , Narration & Évocation , Ergonomie & Usages , Innovation & Optimisation"
Collection POILU,"Hiérarchie & Stratification , Répétition , Motif & Ornementation , Fluidité & Rigidité , Hybridation & Fusion , Texture & État de surface , Masse & Légèreté , Mutation & Évolution , Narration & Évocation , Biomimétisme , Innovation & Optimisation , Artisanat & Savoir-faire"
Componibili,"Articulation & Connexion , Hiérarchie & Stratification , Répétition , Minimalisme & Vide , Texture & État de surface , Interaction , Mobilité & Déploiement , Pérennité , Symbole & Archétype , Innovation & Optimisation , Modularité & Standardisation , Rationalisation & Simplification"
Continental Airlines,"Articulation & Connexion, Répétition, Hiérarchie & Stratification, Couleur & Saturation, Fluidité & Rigidité, Cinétisme & Vibration, Pérennité, Symbole & Archétype, Narration & Évocation, Innovation & Optimisation, Modularité & Standardisation, Rationalisation & Simplification"
Cork Family,"Échelle & Proportion , Répétition , Masse & Légèreté , Texture & État de surface , Minimalisme & Vide , Interaction , Pérennité , Symbole & Archétype , Narration & Évocation , Ergonomie & Usages , Innovation & Optimisation , Rationalisation & Simplification"
Crystallization,"Hiérarchie & Stratification, Motif & Ornementation, Fluidité & Rigidité, Hybridation & Fusion, Masse & Légèreté, Transparence & Opacité, Mutation & Évolution, Éphémère & Apparition, Illusion & Simulation, Narration & Évocation, Artisanat & Savoir-faire, Innovation & Optimisation"
Cube orange Lyon-confluence,"Déconstruction & Fragmentation , Motif & Ornementation , Couleur & Saturation , Minimalisme & Vide , Lumière & Ombre , Transparence & Opacité , Interaction , Ancrage & Élévation , Exagération & Contraste , Symbole & Archétype , Innovation & Optimisation , Réemploi & Réhabilitation"
Cubi Series,"Accumulation & Densité , Articulation & Connexion , Équilibre & Symétrie , Répétition , Lumière & Ombre , Masse & Légèreté , Minimalisme & Vide , Texture & État de surface , Ancrage & Élévation , Pérennité , Exagération & Contraste , Innovation & Optimisation"
Dancing House,"Déconstruction & Fragmentation, Articulation & Connexion, Hiérarchie & Stratification, Déformation & Distorsion, Fluidité & Rigidité, Transparence & Opacité, Cinétisme & Vibration, Mutation & Évolution, Ancrage & Élévation, Symbole & Archétype, Exagération & Contraste, Innovation & Optimisation"
Danse Dance,"Interaction, Cinétisme & Vibration, Détournement & Appropriation, Illusion & Simulation, Narration & Évocation, Mobilité & Déploiement, Éphémère & Apparition, Accumulation & Densité, Innovation & Optimisation, Articulation & Connexion, Minimalisme & Vide, Répétition"
Domaine de la taillerie,"Artisanat & Savoir-faire, Ergonomie & Usages, Texture & État de surface, Pérennité, Échelle & Proportion, Articulation & Connexion, Narration & Évocation, Transparence & Opacité, Masse & Légèreté, Équilibre & Symétrie, Interaction, Rationalisation & Simplification"
Drinking Tea,"Détournement & Appropriation, Artisanat & Savoir-faire, Exagération & Contraste, Déformation & Distorsion, Illusion & Simulation, Pérennité, Répétition, Couleur & Saturation, Symbole & Archétype, Texture & État de surface, Motif & Ornementation, Mutation & Évolution"
Dropping a Han Dynasty Urn,"Détournement & Appropriation, Déconstruction & Fragmentation, Engagement & Sensibilisation, Narration & Évocation, Symbole & Archétype, Exagération & Contraste, Pérennité, Cinétisme & Vibration, Éphémère & Apparition, Réemploi & Réhabilitation, Répétition, Interaction"
Druzhba Sanatorium,"Articulation & Connexion, Équilibre & Symétrie, Hiérarchie & Stratification, Masse & Légèreté, Lumière & Ombre, Ancrage & Élévation, Cinétisme & Vibration, Pérennité, Symbole & Archétype, Exagération & Contraste, Innovation & Optimisation, Modularité & Standardisation"
Dulce,"Innovation & Optimisation, Articulation & Connexion, Lumière & Ombre, Transparence & Opacité, Texture & État de surface, Narration & Évocation, Minimalisme & Vide, Pérennité, Hiérarchie & Stratification, Symbole & Archétype, Rationalisation & Simplification, Ergonomie & Usages"
E-1027,"Articulation & Connexion, Échelle & Proportion, Lumière & Ombre, Minimalisme & Vide, Transparence & Opacité, Ancrage & Élévation, Mobilité & Déploiement, Pérennité, Narration & Évocation, Symbole & Archétype, Ergonomie & Usages, Rationalisation & Simplification"
Eames Lounge Chair and Ottoman,
Eames chair ,"Ergonomie & Usages, Articulation & Connexion, Innovation & Optimisation, Texture & État de surface, Pérennité, Fluidité & Rigidité, Hybridation & Fusion, Symbole & Archétype, Hiérarchie & Stratification, Équilibre & Symétrie, Exagération & Contraste, Artisanat & Savoir-faire"
Earthrise,"Articulation & Connexion, Hiérarchie & Stratification, Masse & Légèreté, Transparence & Opacité, Fluidité & Rigidité, Cinétisme & Vibration, Mobilité & Déploiement, Engagement & Sensibilisation, Symbole & Archétype, Innovation & Optimisation, Réemploi & Réhabilitation, Biomimétisme"
Ellery — Fall 2016 Ready-to-Wear,"Articulation & Connexion, Déconstruction & Fragmentation, Hiérarchie & Stratification, Fluidité & Rigidité, Texture & État de surface, Masse & Légèreté, Couleur & Saturation, Mutation & Évolution, Détournement & Appropriation, Symbole & Archétype, Exagération & Contraste, Artisanat & Savoir-faire"
Elysium,"Accumulation & Densité, Motif & Ornementation, Hybridation & Fusion, Lumière & Ombre, Texture & État de surface, Transparence & Opacité, Ancrage & Élévation, Narration & Évocation, Symbole & Archétype, Exagération & Contraste, Artisanat & Savoir-faire, Biomimétisme"
Embryo Chair,"Biomimétisme, Fluidité & Rigidité, Texture & État de surface, Détournement & Appropriation, Couleur & Saturation, Innovation & Optimisation, Ergonomie & Usages, Symbole & Archétype, Pérennité, Hybridation & Fusion, Équilibre & Symétrie, Masse & Légèreté"
Exodus,"Minimalisme & Vide, Symbole & Archétype, Rationalisation & Simplification, Narration & Évocation, Lumière & Ombre, Exagération & Contraste, Cinétisme & Vibration, Pérennité, Répétition, Engagement & Sensibilisation, Éphémère & Apparition, Couleur & Saturation"
Experience Music Project - MoPOP,"Déconstruction & Fragmentation, Articulation & Connexion, Accumulation & Densité, Couleur & Saturation, Déformation & Distorsion, Fluidité & Rigidité, Texture & État de surface, Cinétisme & Vibration, Interaction, Narration & Évocation, Innovation & Optimisation, Exagération & Contraste"
Exploded Chair,"Déconstruction & Fragmentation, Inclusion & Mise en abyme, Transparence & Opacité, Masse & Légèreté, Minimalisme & Vide, Cinétisme & Vibration, Pérennité, Détournement & Appropriation, Exagération & Contraste, Narration & Évocation, Articulation & Connexion, Innovation & Optimisation"
Facing the World,"Articulation & Connexion, Modularité & Standardisation, Mobilité & Déploiement, Engagement & Sensibilisation, Interaction, Innovation & Optimisation, Narration & Évocation, Minimalisme & Vide, Mutation & Évolution, Ancrage & Élévation, Masse & Légèreté, Symbole & Archétype"
Fauteuil Proust,"Accumulation & Densité, Motif & Ornementation, Répétition, Équilibre & Symétrie, Couleur & Saturation, Texture & État de surface, Pérennité, Détournement & Appropriation, Exagération & Contraste, Narration & Évocation, Symbole & Archétype, Artisanat & Savoir-faire"
Fauteuil Termitière,"Accumulation & Densité, Hybridation & Fusion, Masse & Légèreté, Texture & État de surface, Ancrage & Élévation, Détournement & Appropriation, Exagération & Contraste, Narration & Évocation, Symbole & Archétype, Artisanat & Savoir-faire, Biomimétisme, Réemploi"
Favela Chair / Favela Armchair,"Accumulation & Densité, Articulation & Connexion, Répétition, Texture & État de surface, Masse & Légèreté, Pérennité, Détournement & Appropriation, Narration & Évocation, Symbole & Archétype, Artisanat & Savoir-faire, Réemploi & Réhabilitation, Innovation & Optimisation"
Filo,"Déconstruction & Fragmentation, Articulation & Connexion, Détournement & Appropriation, Hybridation & Fusion, Couleur & Saturation, Narration & Évocation, Artisanat & Savoir-faire, Texture & État de surface, Motif & Ornementation, Symbole & Archétype, Innovation & Optimisation, Transparence & Opacité"
Finger - Study of Perspective,"Engagement & Sensibilisation, Détournement & Appropriation, Répétition, Échelle & Proportion, Symbole & Archétype, Éphémère & Apparition, Interaction, Minimalisme & Vide, Exagération & Contraste, Narration & Évocation, Innovation & Optimisation, Rationalisation & Simplification"
Flower Ball,"Accumulation & Densité, Motif & Ornementation, Répétition, Couleur & Saturation, Texture & État de surface, Hybridation & Fusion, Cinétisme & Vibration, Illusion & Simulation, Symbole & Archétype, Exagération & Contraste, Conception collaborative, Modularité & Standardisation"
Flowerpot Lamp,"Équilibre & Symétrie, Échelle & Proportion, Répétition, Couleur & Saturation, Lumière & Ombre, Minimalisme & Vide, Transparence & Opacité, Pérennité, Mobilité & Déploiement, Symbole & Archétype, Innovation & Optimisation, Rationalisation & Simplification"
Fondation Jérôme Seydoux-Pathé,"Inclusion & Mise en abyme, Articulation & Connexion, Hiérarchie & Stratification, Lumière & Ombre, Transparence & Opacité, Fluidité & Rigidité, Masse & Légèreté, Ancrage & Élévation, Pérennité, Symbole & Archétype, Innovation & Optimisation, Biomimétisme"
Fondation Louis-Vuitton,"Déconstruction & Fragmentation, Articulation & Connexion, Hiérarchie & Stratification, Fluidité & Rigidité, Lumière & Ombre, Masse & Légèreté, Transparence & Opacité, Ancrage & Élévation, Cinétisme & Vibration, Narration & Évocation, Symbole & Archétype, Innovation & Optimisation"
For the Love of God,"Accumulation & Densité, Motif & Ornementation, Répétition, Lumière & Ombre, Texture & État de surface, Pérennité, Détournement & Appropriation, Exagération & Contraste, Narration & Évocation, Symbole & Archétype, Artisanat & Savoir-faire, Conception collaborative"
Forever Bicycles,"Accumulation & Densité, Répétition, Échelle & Proportion, Lumière & Ombre, Masse & Légèreté, Cinétisme & Vibration, Interaction, Engagement & Sensibilisation, Détournement & Appropriation, Symbole & Archétype, Modularité & Standardisation, Réemploi"
Frutiger,"Ergonomie & Usages, Rationalisation & Simplification, Innovation & Optimisation, Modularité & Standardisation, Échelle & Proportion, Minimalisme & Vide, Pérennité, Articulation & Connexion, Mobilité & Déploiement, Symbole & Archétype, Équilibre & Symétrie, Mutation & Évolution"
Full Grown,"Articulation & Connexion, Hybridation & Fusion, Déformation & Distorsion, Texture & État de surface, Mutation & Évolution, Pérennité, Engagement & Sensibilisation, Narration & Évocation, Artisanat & Savoir-faire, Rationalisation & Simplification, Innovation & Optimisation"
Galliard,"Mutation & Évolution, Détournement & Appropriation, Ergonomie & Usages, Artisanat & Savoir-faire, Exagération & Contraste, Échelle & Proportion, Pérennité, Narration & Évocation, Symbole & Archétype, Texture & État de surface, Cinétisme & Vibration, Innovation & Optimisation"
Gateway Arch,"Ancrage & Élévation, Symbole & Archétype, Innovation & Optimisation, Échelle & Proportion, Masse & Légèreté, Lumière & Ombre, Texture & État de surface, Équilibre & Symétrie, Narration & Évocation, Interaction, Pérennité, Articulation & Connexion"
Georgia,"Ergonomie & Usages, Innovation & Optimisation, Modularité & Standardisation, Pérennité, Échelle & Proportion, Rationalisation & Simplification, Symbole & Archétype, Mutation & Évolution, Exagération & Contraste, Artisanat & Savoir-faire"
Glass House,"Transparence & Opacité, Minimalisme & Vide, Masse & Légèreté, Fluidité & Rigidité, Ancrage & Élévation, Lumière & Ombre, Exagération & Contraste, Symbole & Archétype, Pérennité, Articulation & Connexion"
Gravity Fatigue,"Mobilité & Déploiement, Cinétisme & Vibration, Mutation & Évolution, Hybridation & Fusion, Narration & Évocation, Interaction, Engagement & Sensibilisation, Conception collaborative, Illusion & Simulation, Ancrage & Élévation, Modularité & Standardisation, Innovation & Optimisation"
Groovy,"Minimalisme & Vide, Masse & Légèreté, Ancrage & Élévation, Équilibre & Symétrie, Ergonomie & Usages, Pérennité, Symbole & Archétype, Rationalisation & Simplification, Exagération & Contraste, Fluidité & Rigidité"
Gymnase olympique de Yoyogi,"Ancrage & Élévation, Articulation & Connexion, Fluidité & Rigidité, Masse & Légèreté, Équilibre & Symétrie, Échelle & Proportion, Lumière & Ombre, Texture & État de surface, Innovation & Optimisation, Symbole & Archétype, Pérennité, Narration & Évocation"
HSBC Headquarters,"Transparence & Opacité, Lumière & Ombre, Innovation & Optimisation, Articulation & Connexion, Masse & Légèreté, Modularité & Standardisation, Interaction, Ancrage & Élévation, Hiérarchie & Stratification, Symbole & Archétype, Ergonomie & Usages, Narration & Évocation"
Habitat 67,"Modularité & Standardisation, Accumulation & Densité, Articulation & Connexion, Lumière & Ombre, Masse & Légèreté, Innovation & Optimisation, Symbole & Archétype, Pérennité, Ergonomie & Usages, Hiérarchie & Stratification, Exagération & Contraste"
Hacking Infinity,"Hybridation & Fusion, Innovation & Optimisation, Conception collaborative, Narration & Évocation, Texture & État de surface, Transparence & Opacité, Échelle & Proportion, Symbole & Archétype, Biomimétisme, Articulation & Connexion"
Half Chair,"Déconstruction & Fragmentation, Équilibre & Symétrie, Symbole & Archétype, Détournement & Appropriation, Ergonomie & Usages, Exagération & Contraste, Hybridation & Fusion, Articulation & Connexion"
Hauser & Wirth Garden,"Accumulation & Densité, Texture & État de surface, Couleur & Saturation, Cinétisme & Vibration, Pérennité, Mutation & Évolution, Lumière & Ombre, Échelle & Proportion, Fluidité & Rigidité, Narration & Évocation, Articulation & Connexion, Hybridation & Fusion"
Hearst Tower,"Hybridation & Fusion, Hiérarchie & Stratification, Exagération & Contraste, Masse & Légèreté, Transparence & Opacité, Ancrage & Élévation, Articulation & Connexion, Lumière & Ombre, Pérennité, Innovation & Optimisation, Engagement & Sensibilisation"
